,TX HASH,COINBASE,VERSION,VIN,VOUT,SHIELDEDSPEND,SHIELDEDOUT,NS
459638,8642965541,0,4,0,0,1.0,2.0,43901000
459639,76fa8d0c9a,0,4,0,0,8.0,1.0,149391800
459653,8dd8c5ece5,0,4,0,0,2.0,1.0,45875600
459655,420d9fe7f8,0,4,0,0,3.0,1.0,72859800
459657,bc3710f869,0,4,0,0,1.0,2.0,54722000
459664,f54021ceec,0,4,0,0,2.0,2.0,85041900
459666,97d0446d0b,0,4,0,0,2.0,1.0,55690100
459683,fa78bf6ec7,0,4,0,0,1.0,2.0,52404200
459761,405b482dc1,0,4,0,0,2.0,2.0,58616700
459787,bccbf88c21,0,4,0,0,5.0,1.0,106627100
459816,047cd01305,0,4,0,0,1.0,2.0,88992400
460004,1d6a89d244,0,4,0,0,1.0,2.0,82138500
460020,345f0b5126,0,4,0,0,1.0,2.0,61371600
460028,2b999d0163,0,4,0,0,1.0,2.0,52514700
460039,96bc03e107,0,4,0,0,1.0,2.0,70213400
460047,5e646eca5c,0,4,0,0,1.0,2.0,73726800
460306,06cd9a9bfb,0,4,0,0,1.0,1.0,29359400
460309,0709d1b417,0,4,0,0,1.0,3.0,80490100
460364,38e96fab05,0,4,0,0,1.0,2.0,57532000
460375,77f6e3f189,0,4,0,0,1.0,2.0,44796900
460434,e7b3fd33f8,0,4,0,0,1.0,2.0,63472500
460463,708c6f6035,0,4,0,0,1.0,2.0,82944800
460472,c8c7367f86,0,4,0,0,1.0,2.0,44986400
460479,e2eface891,0,4,0,0,1.0,2.0,52966800
460565,178a04ae6b,0,4,0,0,1.0,2.0,114160500
460583,d229aaf768,0,4,0,0,1.0,2.0,53471900
460585,d9d570dd98,0,4,0,0,1.0,2.0,51745700
460587,12b684fab4,0,4,0,0,1.0,2.0,56262100
460692,aea4d0ce34,0,4,0,0,1.0,2.0,37252900
461196,830b771f0a,0,4,1,0,0.0,1.0,48387000
461212,762a3a8551,0,4,0,0,1.0,2.0,172538800
461217,e4bd62d506,0,4,0,1,1.0,0.0,13006700
461233,0579260b28,0,4,0,0,5.0,2.0,97528300
461336,b67e6bcb5e,0,4,0,1,1.0,0.0,15361200
461337,34809e3ea9,0,4,0,1,1.0,1.0,26548900
461344,0fb336ab1a,0,4,0,0,1.0,2.0,32472900
461350,d949e1e505,0,4,0,0,1.0,2.0,52391700
461354,323488785f,0,4,0,0,1.0,2.0,41003500
461368,1687934861,0,4,0,0,2.0,2.0,82065300
461380,234b0a1f15,0,4,0,0,3.0,2.0,99176000
461445,c0a0fdde50,0,4,0,0,3.0,1.0,71529300
462133,9c0abdefdf,0,4,0,0,1.0,2.0,67320400
462140,536ed42c2c,0,4,0,0,1.0,2.0,39236400
462141,a7414b1fed,0,4,0,0,1.0,2.0,41173800
462153,a8ccf381a8,0,4,0,0,1.0,2.0,36757500
462566,0954700fa8,0,4,1,0,0.0,1.0,12190500
462997,2ee476a977,0,4,1,0,0.0,1.0,20117700
463113,7f630decd4,0,4,1,0,0.0,1.0,14615100
463309,27c12067fc,0,4,0,0,1.0,2.0,38560400
463311,1ea65d2274,0,4,0,1,1.0,1.0,21198400
463457,93d346a5fc,0,4,0,0,1.0,2.0,70155000
463648,66fa5ccb5c,0,4,0,1,1.0,1.0,29963000
463871,8dea35f614,0,4,50,0,0.0,1.0,12086200
463982,26074b0e6c,0,4,0,1,1.0,1.0,43035100
463986,f358c81689,0,4,1,0,0.0,1.0,10911100
463989,71fd65e95b,0,4,0,0,1.0,2.0,45718900
463991,6293c30e55,0,4,0,0,1.0,2.0,70531200
464046,073efe2e6d,0,4,0,2,2.0,1.0,89366800
464053,0595bee9d6,0,4,0,1,1.0,1.0,32136100
464083,5d8cdb3d5d,0,4,0,1,6.0,0.0,88229200
464130,d2261a8842,0,4,0,1,1.0,1.0,20482100
464144,dc6494c1cc,0,4,0,0,1.0,2.0,45555200
464167,71b5201e40,0,4,1,0,0.0,1.0,13823300
464205,516419164e,0,4,3,0,0.0,1.0,15956800
464336,c8147e0267,0,4,0,0,1.0,2.0,44753400
464444,f91cabe1ea,0,4,0,0,1.0,2.0,39090900
464613,d1145140ba,0,4,0,16,1.0,1.0,43042500
464751,0b80082c9f,0,4,50,0,0.0,1.0,27567800
464752,7f72a200a4,0,4,50,0,0.0,1.0,24279400
464845,d416d2844a,0,4,0,16,1.0,1.0,39718800
465012,71f4acfaa1,0,4,0,1,1.0,1.0,41202900
465075,105aa756c3,0,4,0,1,1.0,1.0,81886600
465416,69eafa02e5,0,4,0,2,1.0,2.0,44695400
465418,4534cb8601,0,4,3,0,0.0,2.0,30842700
465420,bad17a8837,0,4,1,0,0.0,2.0,34974300
465613,14cab4966f,0,4,0,1,4.0,1.0,80975400
465812,59bdf68f2a,0,4,0,0,1.0,2.0,62781000
465813,608273581e,0,4,0,0,1.0,2.0,53248000
465814,6288ff0827,0,4,0,0,1.0,2.0,41068400
465815,81e6f79cf2,0,4,0,0,1.0,2.0,36280600
465816,cb39f09b0b,0,4,0,0,1.0,2.0,45756000
465817,829f53e8db,0,4,0,0,1.0,2.0,32847900
465818,e1b1b8103d,0,4,0,0,1.0,2.0,30305200
465819,b0674601b7,0,4,0,0,1.0,2.0,34386100
465821,d222b8df6e,0,4,0,0,1.0,2.0,48043700
465822,81ec629236,0,4,0,0,1.0,2.0,32671000
465823,4100ca90dc,0,4,0,0,1.0,2.0,31634200
465824,9d12f7619d,0,4,0,0,1.0,2.0,31303500
465901,726ff7dd73,0,4,0,0,1.0,2.0,73713900
465940,edd2640ce1,0,4,0,0,1.0,2.0,54312500
466227,b6264a2564,0,4,1,0,0.0,1.0,11238800
466362,df3600dce4,0,4,0,0,1.0,1.0,44223400
466402,3472517da3,0,4,0,1,1.0,1.0,23361600
466475,2a2e3e1dbf,0,4,0,1,2.0,0.0,49927800
466543,5e1ad4f600,0,4,3,0,0.0,1.0,45124900
468782,66d8433467,0,4,0,0,1.0,2.0,33041800
468923,4c3fc690bc,0,4,0,1,1.0,1.0,49171200
468945,18d6128b83,0,4,0,0,1.0,2.0,89908000
469323,3e9465471f,0,4,1,0,0.0,2.0,35950800
469392,240972db07,0,4,0,0,1.0,3.0,81323200
469400,a374401579,0,4,0,0,2.0,3.0,60322000
469404,7562b41280,0,4,0,0,1.0,3.0,58582400
469442,2c2a117669,0,4,50,0,0.0,1.0,37924800
469452,a645c28793,0,4,0,1,1.0,1.0,31820000
469511,4c12b78d43,0,4,1,0,0.0,1.0,11071600
469601,fd2ac800ae,0,4,1,0,0.0,2.0,26377800
470724,4f321e68ee,0,4,0,1,1.0,1.0,65908000
470777,a57172d704,0,4,50,0,0.0,1.0,14073300
470875,87f8929545,0,4,0,1,1.0,1.0,47859100
470924,a5f591826e,0,4,0,1,1.0,1.0,44594700
471025,014f3d046c,0,4,0,1,2.0,1.0,70333200
471644,f97b259790,0,4,0,1,1.0,2.0,37090100
471647,e5c70f40f6,0,4,0,1,31.0,1.0,396364100
471653,14a02f3392,0,4,0,1,1.0,2.0,54289900
471672,09f741efce,0,4,0,1,1.0,2.0,61494000
471675,f9c76bc937,0,4,0,1,1.0,2.0,66648700
471680,a341ce9853,0,4,0,1,1.0,2.0,33934400
471731,ae9c1760ea,0,4,0,1,1.0,2.0,65791200
471794,2ec9d52211,0,4,0,2,1.0,2.0,40776800
471809,a56ec8b207,0,4,0,1,1.0,2.0,48484600
471814,243f1538bc,0,4,0,1,1.0,2.0,44362500
471836,191a3a15b3,0,4,0,1,1.0,2.0,45051100
471839,5ef243b6f4,0,4,0,1,1.0,2.0,86979300
471845,fed8e59237,0,4,0,1,1.0,2.0,69941000
473047,96a1de2140,0,4,0,1,1.0,1.0,71531000
473609,b0c9f88ff2,0,4,50,0,0.0,1.0,20710000
473610,0f79112265,0,4,50,0,0.0,1.0,30100300
473611,d3dc2c0579,0,4,50,0,0.0,1.0,27791600
473612,6c5d1d9b32,0,4,50,0,0.0,1.0,11453900
473613,448d558ae6,0,4,50,0,0.0,1.0,10396100
473614,5ea8b81b32,0,4,50,0,0.0,1.0,23905700
473649,ddc78460cc,0,4,0,0,1.0,3.0,55540600
473656,c5bf0d2398,0,4,0,0,1.0,3.0,64633800
473713,b440b0fb52,0,4,0,0,2.0,3.0,90839700
473733,589d820e89,0,4,0,0,1.0,3.0,44830600
473742,248430f16c,0,4,0,0,1.0,3.0,76986500
473763,3986118a1d,0,4,50,0,0.0,1.0,15309800
473764,b4c2db5ca7,0,4,50,0,0.0,1.0,18892400
473765,406160f189,0,4,50,0,0.0,1.0,19543800
473766,5fdc650e15,0,4,50,0,0.0,1.0,16060600
473767,d8ed1c3d4a,0,4,50,0,0.0,1.0,11767000
473768,1f14d5c9c8,0,4,28,0,0.0,1.0,15993700
473960,0c49ede9e2,0,4,0,1,1.0,3.0,103932300
474961,722c11db2f,0,4,0,0,1.0,3.0,100475000
475687,cc2e8a1a64,0,4,1,0,0.0,1.0,11309500
475712,2fbbc89a7b,0,4,1,0,0.0,1.0,17226800
475799,fce4670559,0,4,0,0,1.0,2.0,52166600
475889,ef70516ef0,0,4,0,0,1.0,2.0,49072000
475890,da874b6871,0,4,0,0,6.0,2.0,169860400
475891,678988145b,0,4,0,0,23.0,2.0,309641100
475897,a2d557d05d,0,4,1,0,0.0,1.0,13987500
475911,ede6c86757,0,4,1,0,0.0,1.0,16669400
475920,9ca1ce7040,0,4,1,0,0.0,1.0,12067500
475927,1dadaa3af2,0,4,0,1,16.0,1.0,260802400
475929,514d5920cc,0,4,1,0,0.0,1.0,10227700
475933,657d65c586,0,4,1,0,0.0,1.0,27505700
475938,0455e48207,0,4,1,0,0.0,1.0,19809200
475941,241574ce08,0,4,50,0,0.0,1.0,49835500
475947,3c1e881db3,0,4,1,0,0.0,1.0,20660200
475957,e4a32034d1,0,4,0,1,4.0,1.0,73407300
475983,d2c76b95eb,0,4,1,0,0.0,1.0,22799300
476101,79b233646f,0,4,1,0,0.0,1.0,17167300
476226,146766bf68,0,4,1,0,0.0,1.0,15887900
476277,5871225e84,0,4,1,0,0.0,1.0,26986200
476288,882f8072d7,0,4,1,0,0.0,1.0,25853300
476308,783c0c2978,0,4,0,1,2.0,1.0,40514600
476328,563c91ab6a,0,4,1,0,0.0,1.0,26030100
476379,04e95efcd3,0,4,1,0,0.0,1.0,14879000
476412,9c53eabf4d,0,4,0,1,3.0,1.0,72323800
476486,f6c6d10930,0,4,1,0,0.0,1.0,30523600
477347,19d940c73d,0,4,2,0,0.0,2.0,75999800
477369,c094f91525,0,4,1,0,0.0,2.0,33342400
477393,2a025b6ff7,0,4,1,0,0.0,1.0,13212500
477398,9b46b6d5fd,0,4,1,0,0.0,1.0,16420800
477402,8ff7b81f6b,0,4,1,0,0.0,1.0,24644800
477438,29b5f8adb1,0,4,1,0,0.0,1.0,14558400
477441,c7df4f31f9,0,4,1,0,0.0,1.0,15396500
477446,389b66510c,0,4,1,0,0.0,2.0,52865000
477450,65f38f0a00,0,4,0,1,3.0,1.0,83211000
477535,cade4552dd,0,4,0,1,5.0,1.0,89974900
477561,e23a928e32,0,4,0,1,4.0,1.0,78733200
477581,2549928c77,0,4,0,0,11.0,2.0,249715400
477615,7e7a498422,0,4,2,0,0.0,1.0,26748700
480787,bcb493015f,0,4,0,0,1.0,2.0,54916500
480801,e3de401f4c,0,4,0,0,1.0,2.0,50918600
481470,0a9a10038c,0,4,1,0,0.0,1.0,23358500
481475,a725e081f4,0,4,1,0,0.0,1.0,18636800
481478,0e6982be45,0,4,1,0,0.0,1.0,15588600
481482,7e7ae0792c,0,4,1,0,0.0,1.0,35011100
481496,7094c8fa99,0,4,1,0,0.0,1.0,13078100
481683,732207d160,0,4,1,0,0.0,1.0,12089800
481685,9c18f863fa,0,4,0,0,4.0,2.0,81732800
481733,028586bcd1,0,4,1,0,0.0,1.0,21156500
481738,beae404189,0,4,0,1,8.0,1.0,133852000
481871,51fc65fdb2,0,4,2,0,0.0,1.0,11860100
481874,ae46f75bf3,0,4,1,0,0.0,1.0,9330700
481877,7a75189495,0,4,1,0,0.0,1.0,17205700
481893,db6d691d4b,0,4,1,0,0.0,1.0,12091500
481904,d6512ac4c7,0,4,1,0,0.0,1.0,10548100
481907,b09aebc8d7,0,4,1,0,0.0,1.0,12651200
482007,2b88be5f99,0,4,0,1,6.0,1.0,96383000
482011,52a4bc2ee2,0,4,1,0,0.0,1.0,9570500
482121,b79dad55dc,0,4,0,1,1.0,2.0,41786200
482202,536a1e1dac,0,4,1,0,0.0,1.0,39926500
482209,8c2a4f519b,0,4,1,0,0.0,1.0,11056100
482215,f20c12ead6,0,4,1,0,0.0,1.0,13826200
482370,3844355fb6,0,4,1,0,0.0,1.0,10764000
482374,250fae55ad,0,4,1,0,0.0,1.0,11624000
482380,c1086e73d6,0,4,1,0,0.0,1.0,22355300
484166,66e08ad09e,0,4,1,0,0.0,1.0,12134400
484175,ad0cabce90,0,4,2,0,0.0,1.0,18330900
484198,4c58320238,0,4,1,0,0.0,1.0,13368700
484207,48a78c2e53,0,4,1,0,0.0,1.0,23065300
484309,6e2be943a2,0,4,0,0,1.0,2.0,45181300
484331,51b082c472,0,4,0,0,1.0,1.0,31798200
484340,d69b43d134,0,4,1,0,0.0,1.0,19663000
484341,5bfcbf8072,0,4,0,0,1.0,2.0,56905900
484350,4dfc847f25,0,4,1,0,0.0,1.0,12622000
484366,31bcb96377,0,4,1,0,0.0,1.0,19952600
484374,4542cbdbb6,0,4,1,0,0.0,1.0,14300300
484380,87c749c290,0,4,0,0,1.0,3.0,52545600
484825,c8fa714862,0,4,0,0,1.0,3.0,114566900
486905,bcf1e7b555,0,4,0,1,1.0,2.0,92122300
486907,6f5256199f,0,4,0,0,1.0,3.0,77091100
486990,20f06125b5,0,4,1,0,0.0,1.0,19669200
486996,d520181801,0,4,1,0,0.0,1.0,22396700
487085,2043d5db01,0,4,1,0,0.0,1.0,15605000
487096,86d8f2ad8a,0,4,1,0,0.0,1.0,37813900
487100,73db71521c,0,4,1,0,0.0,1.0,25620200
487133,4a26158db8,0,4,0,1,9.0,1.0,194267300
487157,064f876326,0,4,1,0,0.0,1.0,21705600
487172,7f3a6c3e02,0,4,0,1,3.0,1.0,70559400
491893,61b0c7f8cc,0,4,0,0,1.0,2.0,50245600
493775,4d9eb21ccc,0,4,0,0,2.0,2.0,86709600
494221,11db9ab6a9,0,4,0,0,1.0,2.0,55251300
495339,70d88bebc9,0,4,0,0,1.0,2.0,57897600
495663,a2a184cf2a,0,4,0,0,4.0,2.0,88360600
497206,d396c91369,0,4,0,0,1.0,2.0,72808900
